Id,SalePrice
1461,124931.52284885317
1462,151020.77624979574
1463,179237.88432782108
1464,187281.30968537522
1465,194806.27482102634
1466,183766.4908631688
1467,169977.92782790083
1468,177442.89870617946
1469,183904.3041395946
1470,128572.95732968651
1471,202742.72642160492
1472,101486.17597361257
1473,106602.82380887825
1474,151968.2819885594
1475,125108.77286421336
1476,335158.5282185463
1477,251255.43884422455
1478,298551.3364457051
1479,296490.01982394373
1480,384550.33943892276
1481,306607.2615097913
1482,207150.37552847923
1483,188538.66530219602
1484,180168.48125556717
1485,180006.57024579967
1486,199716.93352853775
1487,302292.8774836947
1488,239217.47972006362
1489,202580.24413275678
1490,215432.41055216486
1491,199231.1209084143
1492,105820.12694586017
1493,180079.83581809374
1494,286717.5285666746
1495,281393.18656524055
1496,230975.4248183754
1497,184675.67093194695
1498,162507.1290707519
1499,161693.4285322465
1500,161707.03422869
1501,169727.55761779842
1502,167389.0117192376
1503,255215.80778657054
1504,220414.0755356438
1505,217928.8747220466
1506,183524.9288173131
1507,229152.3290394115
1508,193086.43826433568
1509,159331.41032139264
1510,147976.0725337009
1511,148006.37499911417
1512,172271.54463563598
1513,151782.8858601411
1514,151359.79220673136
1515,179283.51649762856
1516,155313.31439732114
1517,150231.16375681115
1518,141914.29325841702
1519,222164.88556754886
1520,137716.7575626912
1521,139822.15119160092
1522,162128.6745690903
1523,119309.9542520002
1524,120482.47794634219
1525,126093.16303425543
1526,126357.06035906875
1527,110996.93973975259
1528,126591.30967178427
1529,140609.45283465943
1530,166803.84833985337
1531,130793.942445007
1532,104922.77045315808
1533,137725.4612546576
1534,119964.92542728243
1535,147280.25754017642
1536,121924.82047464437
1537,100387.43354322082
1538,145914.37188455398
1539,182852.50879078865
1540,123656.56447870379
1541,140067.6191736238
1542,135304.48622303415
1543,172314.99459988115
1544,91594.52032570395
1545,107156.930197944
1546,124576.10097787506
1547,132468.96528028886
1548,122915.25698402354
1549,114310.2867194887
1550,137081.9630694161
1551,122226.25194126394
1552,142542.512017491
1553,131364.93785914703
1554,114696.06853890565
1555,165233.42620795552
1556,102670.7053892198
1557,115799.5404750827
1558,105949.01255286997
1559,112375.09492896036
1560,138456.77562219364
1561,139382.07921587458
1562,127898.41119052499
1563,122720.35907779148
1564,161887.8050318866
1565,155899.51501710832
1566,200110.03125961393
1567,98493.31265645557
1568,212302.0008532416
1569,154286.9162929468
1570,139750.51989292892
1571,128722.5956642873
1572,142141.07253332078
1573,229242.8346060222
1574,133076.68941379248
1575,205495.1124136773
1576,224047.98176798562
1577,192649.98298498252
1578,148679.10783030922
1579,145605.28189493617
1580,191950.72196624705
1581,137933.61354009464
1582,127177.31863475886
1583,305830.82730539335
1584,233278.627299125
1585,147735.19755837915
1586,92602.78787695424
1587,114225.24392380947
1588,142158.4678598
1589,109999.31099073715
1590,134971.10348025477
1591,102043.45220951385
1592,131262.4322538291
1593,120597.27476740791
1594,124901.49406398651
1595,129647.32206901889
1596,197726.21030117443
1597,170137.4807586331
1598,183275.79793206404
1599,168244.32530260496
1600,177798.9262733473
1601,88326.58232783222
1602,116104.97339773578
1603,101738.67960086894
1604,264999.8585926892
1605,240753.58632806773
1606,161025.94424664686
1607,169235.43053620416
1608,211874.21257907318
1609,190570.28781244397
1610,164715.0155806917
1611,147833.12001714896
1612,186689.18435216692
1613,179300.64126472588
1614,119755.63438360319
1615,94452.82350123707
1616,90805.38285265102
1617,98948.31166101275
1618,123449.22444630656
1619,136221.1432995991
1620,172484.4167167478
1621,141651.18826880289
1622,142703.16423273383
1623,255159.70093926904
1624,214951.89610325888
1625,127155.41906647346
1626,169614.77438284562
1627,185949.3594057896
1628,259757.80574661924
1629,174952.17691156734
1630,289774.24323115346
1631,198261.85130483925
1632,229769.81415024222
1633,174181.13714752404
1634,188561.23554167972
1635,182414.43718890657
1636,169485.87777595487
1637,182950.52581585263
1638,194062.84649624067
1639,183595.34172308564
1640,229786.4990922235
1641,178363.2061279551
1642,214315.10534204528
1643,218836.17175548227
1644,218316.9679719852
1645,186242.4164096228
1646,155959.51070685085
1647,162144.37887151705
1648,140969.78959119742
1649,137860.52459383404
1650,124046.73179787537
1651,122540.50527809034
1652,102204.72979751723
1653,102084.02551837702
1654,154200.45180465587
1655,147421.442086312
1656,150923.77472495762
1657,154194.37247088953
1658,157105.46660303668
1659,128492.01474381014
1660,152263.83681147388
1661,379226.3617481821
1662,319012.6213719896
1663,355929.4286282615
1664,381974.396108687
1665,306654.89338560955
1666,319484.4007787854
1667,323452.23763871606
1668,322016.81878977804
1669,280304.53993564134
1670,330335.20104809606
1671,267715.449337112
1672,367564.34792406124
1673,289370.28724827815
1674,250618.79656332196
1675,196640.6493978293
1676,198191.29311019016
1677,208796.793059495
1678,376846.96358358697
1679,362441.0031936437
1680,298839.9709697206
1681,237361.93323493117
1682,310524.74227226846
1683,197315.54177401005
1684,184478.3295853687
1685,181990.50966261863
1686,183702.54109799478
1687,174049.9680712126
1688,196287.57622414627
1689,195937.93859952365
1690,189426.88032903307
1691,183654.28471193166
1692,245034.07035967117
1693,174634.1387569177
1694,182867.94086003286
1695,171503.55963759433
1696,263164.6279651824
1697,169298.4982148503
1698,317952.2894640979
1699,307384.8089158042
1700,240851.2784472758
1701,258832.3723059412
1702,256244.7710123565
1703,258296.61020490446
1704,280901.50092612294
1705,231956.73471013192
1706,355556.64656581724
1707,209080.4885144352
1708,204209.5326542816
1709,255540.28036675256
1710,226527.75835096656
1711,254644.07213025514
1712,258232.6642027184
1713,263444.3436298835
1714,216317.42053461086
1715,198560.42533009648
1716,174998.0517636576
1717,164717.19486919724
1718,132427.71739361493
1719,205400.629809806
1720,241862.49066317378
1721,164476.29695857875
1722,127604.52642302043
1723,155861.3331979391
1724,215779.97524544285
1725,228034.0129828897
1726,189691.31914365507
1727,181870.1558874651
1728,188998.45716771693
1729,164946.35766143622
1730,151592.61740805325
1731,126541.6272361214
1732,129606.34786780858
1733,126385.82001588216
1734,130694.36150774297
